Date,Open,High,Low,Close,Close_t+1
30-Dec-99,70.15,70.75,68.3,69.03,70.4
29-Dec-99,70.6,71.25,70.1,70.4,70.79
28-Dec-99,70.05,71.0,70.0,70.79,69.75
27-Dec-99,68.6,69.95,68.5,69.75,68.51
23-Dec-99,68.35,69.0,68.0,68.51,67.97
22-Dec-99,69.05,69.2,67.55,67.97,69.14
21-Dec-99,69.2,69.4,68.7,69.14,69.44
20-Dec-99,68.9,69.85,68.5,69.44,69.1
17-Dec-99,68.4,69.75,67.5,69.1,68.75
16-Dec-99,67.5,69.0,66.9,68.75,67.3
15-Dec-99,67.1,67.75,66.8,67.3,65.96
14-Dec-99,64.25,66.1,64.25,65.96,64.62
13-Dec-99,63.25,64.8,63.2,64.62,63.16
10-Dec-99,64.35,64.6,61.7,63.16,65.0
9-Dec-99,66.6,66.75,64.65,65.0,66.52
8-Dec-99,64.3,66.7,64.1,66.52,65.7
7-Dec-99,66.7,67.1,65.5,65.7,67.23
6-Dec-99,66.9,67.35,66.5,67.23,66.0
3-Dec-99,66.0,66.7,65.75,66.0,66.24
2-Dec-99,65.05,66.3,64.65,66.24,64.13
1-Dec-99,63.8,64.5,62.4,64.13,64.17
30-Nov-99,66.0,66.9,63.5,64.17,67.13
29-Nov-99,68.0,68.3,66.9,67.13,69.84
26-Nov-99,69.5,70.0,69.0,69.84,69.84
24-Nov-99,69.5,70.0,69.0,69.84,68.11
23-Nov-99,69.1,69.25,68.0,68.11,69.43
22-Nov-99,69.5,70.0,68.6,69.43,68.05
19-Nov-99,68.1,68.7,67.1,68.05,66.51
18-Nov-99,68.4,68.9,66.4,66.51,68.73
17-Nov-99,68.2,69.15,68.15,68.73,67.21
16-Nov-99,66.2,67.5,65.9,67.21,66.54
15-Nov-99,66.55,67.4,66.4,66.54,66.22
12-Nov-99,64.15,66.35,64.1,66.22,64.39
11-Nov-99,64.1,65.2,63.75,64.39,64.71
10-Nov-99,63.9,65.55,63.9,64.71,62.7
9-Nov-99,62.0,62.9,61.7,62.7,61.23
8-Nov-99,60.7,61.4,60.25,61.23,60.92
5-Nov-99,62.0,62.25,60.6,60.92,61.47
4-Nov-99,60.8,61.6,60.5,61.47,60.51
3-Nov-99,60.1,61.1,58.95,60.51,59.41
2-Nov-99,59.35,60.2,59.1,59.41,59.55
1-Nov-99,58.5,59.6,58.1,59.55,57.99
29-Oct-99,58.75,59.0,57.6,57.99,57.7
28-Oct-99,60.0,60.3,57.6,57.7,60.76
27-Oct-99,60.95,61.3,60.55,60.76,60.53
26-Oct-99,60.3,61.25,60.2,60.53,60.68
25-Oct-99,61.05,61.5,60.55,60.68,60.89
22-Oct-99,60.0,61.2,59.7,60.89,58.99
21-Oct-99,59.15,59.7,58.85,58.99,58.69
20-Oct-99,58.0,59.25,57.5,58.69,58.36
19-Oct-99,58.4,59.55,58.25,58.36,59.15
18-Oct-99,59.65,59.95,58.8,59.15,59.56
15-Oct-99,57.7,59.7,57.25,59.56,58.51
14-Oct-99,59.15,59.75,58.4,58.51,59.61
13-Oct-99,59.0,59.95,58.4,59.61,57.9
12-Oct-99,56.35,58.1,56.0,57.9,54.88
11-Oct-99,54.5,55.3,53.4,54.88,53.72
8-Oct-99,53.8,55.4,53.45,53.72,57.46
7-Oct-99,58.4,58.6,57.3,57.46,59.43
6-Oct-99,59.8,60.0,59.3,59.43,59.61
5-Oct-99,60.3,60.55,58.4,59.61,60.56
4-Oct-99,61.5,61.6,60.5,60.56,62.49
1-Oct-99,62.95,63.3,62.3,62.49,61.54
30-Sep-99,61.25,62.15,61.25,61.54,62.13
29-Sep-99,62.6,62.75,62.0,62.13,61.68
28-Sep-99,61.8,62.3,61.25,61.68,62.12
27-Sep-99,62.3,62.8,61.9,62.12,62.27
24-Sep-99,61.8,62.65,61.6,62.27,62.15
23-Sep-99,61.3,62.45,61.3,62.15,60.21
22-Sep-99,60.6,60.7,59.75,60.21,59.78
21-Sep-99,59.85,60.85,59.35,59.78,60.25
20-Sep-99,61.15,61.2,60.0,60.25,61.17
