Date,Open,High,Low,Close,Date_epoch,Date_dow
30-Dec-99,70.15,70.75,68.3,69.03,946512000,3
29-Dec-99,70.6,71.25,70.1,70.4,946425600,2
28-Dec-99,70.05,71,70,70.79,946339200,1
27-Dec-99,68.6,69.95,68.5,69.75,946252800,0
23-Dec-99,68.35,69,68,68.51,945907200,3
22-Dec-99,69.05,69.2,67.55,67.97,945820800,2
21-Dec-99,69.2,69.4,68.7,69.14,945734400,1
20-Dec-99,68.9,69.85,68.5,69.44,945648000,0
17-Dec-99,68.4,69.75,67.5,69.1,945388800,4
16-Dec-99,67.5,69,66.9,68.75,945302400,3
15-Dec-99,67.1,67.75,66.8,67.3,945216000,2
14-Dec-99,64.25,66.1,64.25,65.96,945129600,1
13-Dec-99,63.25,64.8,63.2,64.62,945043200,0
10-Dec-99,64.35,64.6,61.7,63.16,944784000,4
9-Dec-99,66.6,66.75,64.65,65,944697600,3
8-Dec-99,64.3,66.7,64.1,66.52,944611200,2
7-Dec-99,66.7,67.1,65.5,65.7,944524800,1
6-Dec-99,66.9,67.35,66.5,67.23,944438400,0
3-Dec-99,66,66.7,65.75,66,944179200,4
2-Dec-99,65.05,66.3,64.65,66.24,944092800,3
1-Dec-99,63.8,64.5,62.4,64.13,944006400,2
30-Nov-99,66,66.9,63.5,64.17,943920000,1
29-Nov-99,68,68.3,66.9,67.13,943833600,0
26-Nov-99,69.5,70,69,69.84,943574400,4
24-Nov-99,69.5,70,69,69.84,943401600,2
23-Nov-99,69.1,69.25,68,68.11,943315200,1
22-Nov-99,69.5,70,68.6,69.43,943228800,0
19-Nov-99,68.1,68.7,67.1,68.05,942969600,4
18-Nov-99,68.4,68.9,66.4,66.51,942883200,3
17-Nov-99,68.2,69.15,68.15,68.73,942796800,2
16-Nov-99,66.2,67.5,65.9,67.21,942710400,1
15-Nov-99,66.55,67.4,66.4,66.54,942624000,0
12-Nov-99,64.15,66.35,64.1,66.22,942364800,4
11-Nov-99,64.1,65.2,63.75,64.39,942278400,3
10-Nov-99,63.9,65.55,63.9,64.71,942192000,2
9-Nov-99,62,62.9,61.7,62.7,942105600,1
8-Nov-99,60.7,61.4,60.25,61.23,942019200,0
