Date,Date_epoch,Date_dow,Open_lag1,High_lag1,Low_lag1,Close_lag1,Open_lag2,High_lag2,Low_lag2,Close_lag2,Open_lag3,High_lag3,Low_lag3,Close_lag3,Open_lag4,High_lag4,Low_lag4,Close_lag4,Open_lag5,High_lag5,Low_lag5,Close_lag5,Open_lag6,High_lag6,Low_lag6,Close_lag6
21-Dec-99,945734400,1,69.05,69.2,67.55,67.97,68.35,69.0,68.0,68.51,68.6,69.95,68.5,69.75,70.05,71.0,70.0,70.79,70.6,71.25,70.1,70.4,70.15,70.75,68.3,69.03
20-Dec-99,945648000,0,69.2,69.4,68.7,69.14,69.05,69.2,67.55,67.97,68.35,69.0,68.0,68.51,68.6,69.95,68.5,69.75,70.05,71.0,70.0,70.79,70.6,71.25,70.1,70.4
17-Dec-99,945388800,4,68.9,69.85,68.5,69.44,69.2,69.4,68.7,69.14,69.05,69.2,67.55,67.97,68.35,69.0,68.0,68.51,68.6,69.95,68.5,69.75,70.05,71.0,70.0,70.79
16-Dec-99,945302400,3,68.4,69.75,67.5,69.1,68.9,69.85,68.5,69.44,69.2,69.4,68.7,69.14,69.05,69.2,67.55,67.97,68.35,69.0,68.0,68.51,68.6,69.95,68.5,69.75
15-Dec-99,945216000,2,67.5,69.0,66.9,68.75,68.4,69.75,67.5,69.1,68.9,69.85,68.5,69.44,69.2,69.4,68.7,69.14,69.05,69.2,67.55,67.97,68.35,69.0,68.0,68.51
14-Dec-99,945129600,1,67.1,67.75,66.8,67.3,67.5,69.0,66.9,68.75,68.4,69.75,67.5,69.1,68.9,69.85,68.5,69.44,69.2,69.4,68.7,69.14,69.05,69.2,67.55,67.97
13-Dec-99,945043200,0,64.25,66.1,64.25,65.96,67.1,67.75,66.8,67.3,67.5,69.0,66.9,68.75,68.4,69.75,67.5,69.1,68.9,69.85,68.5,69.44,69.2,69.4,68.7,69.14
10-Dec-99,944784000,4,63.25,64.8,63.2,64.62,64.25,66.1,64.25,65.96,67.1,67.75,66.8,67.3,67.5,69.0,66.9,68.75,68.4,69.75,67.5,69.1,68.9,69.85,68.5,69.44
9-Dec-99,944697600,3,64.35,64.6,61.7,63.16,63.25,64.8,63.2,64.62,64.25,66.1,64.25,65.96,67.1,67.75,66.8,67.3,67.5,69.0,66.9,68.75,68.4,69.75,67.5,69.1
8-Dec-99,944611200,2,66.6,66.75,64.65,65.0,64.35,64.6,61.7,63.16,63.25,64.8,63.2,64.62,64.25,66.1,64.25,65.96,67.1,67.75,66.8,67.3,67.5,69.0,66.9,68.75
7-Dec-99,944524800,1,64.3,66.7,64.1,66.52,66.6,66.75,64.65,65.0,64.35,64.6,61.7,63.16,63.25,64.8,63.2,64.62,64.25,66.1,64.25,65.96,67.1,67.75,66.8,67.3
6-Dec-99,944438400,0,66.7,67.1,65.5,65.7,64.3,66.7,64.1,66.52,66.6,66.75,64.65,65.0,64.35,64.6,61.7,63.16,63.25,64.8,63.2,64.62,64.25,66.1,64.25,65.96
3-Dec-99,944179200,4,66.9,67.35,66.5,67.23,66.7,67.1,65.5,65.7,64.3,66.7,64.1,66.52,66.6,66.75,64.65,65.0,64.35,64.6,61.7,63.16,63.25,64.8,63.2,64.62
2-Dec-99,944092800,3,66.0,66.7,65.75,66.0,66.9,67.35,66.5,67.23,66.7,67.1,65.5,65.7,64.3,66.7,64.1,66.52,66.6,66.75,64.65,65.0,64.35,64.6,61.7,63.16
1-Dec-99,944006400,2,65.05,66.3,64.65,66.24,66.0,66.7,65.75,66.0,66.9,67.35,66.5,67.23,66.7,67.1,65.5,65.7,64.3,66.7,64.1,66.52,66.6,66.75,64.65,65.0
30-Nov-99,943920000,1,63.8,64.5,62.4,64.13,65.05,66.3,64.65,66.24,66.0,66.7,65.75,66.0,66.9,67.35,66.5,67.23,66.7,67.1,65.5,65.7,64.3,66.7,64.1,66.52
29-Nov-99,943833600,0,66.0,66.9,63.5,64.17,63.8,64.5,62.4,64.13,65.05,66.3,64.65,66.24,66.0,66.7,65.75,66.0,66.9,67.35,66.5,67.23,66.7,67.1,65.5,65.7
26-Nov-99,943574400,4,68.0,68.3,66.9,67.13,66.0,66.9,63.5,64.17,63.8,64.5,62.4,64.13,65.05,66.3,64.65,66.24,66.0,66.7,65.75,66.0,66.9,67.35,66.5,67.23
24-Nov-99,943401600,2,69.5,70.0,69.0,69.84,68.0,68.3,66.9,67.13,66.0,66.9,63.5,64.17,63.8,64.5,62.4,64.13,65.05,66.3,64.65,66.24,66.0,66.7,65.75,66.0
23-Nov-99,943315200,1,69.5,70.0,69.0,69.84,69.5,70.0,69.0,69.84,68.0,68.3,66.9,67.13,66.0,66.9,63.5,64.17,63.8,64.5,62.4,64.13,65.05,66.3,64.65,66.24
22-Nov-99,943228800,0,69.1,69.25,68.0,68.11,69.5,70.0,69.0,69.84,69.5,70.0,69.0,69.84,68.0,68.3,66.9,67.13,66.0,66.9,63.5,64.17,63.8,64.5,62.4,64.13
19-Nov-99,942969600,4,69.5,70.0,68.6,69.43,69.1,69.25,68.0,68.11,69.5,70.0,69.0,69.84,69.5,70.0,69.0,69.84,68.0,68.3,66.9,67.13,66.0,66.9,63.5,64.17
18-Nov-99,942883200,3,68.1,68.7,67.1,68.05,69.5,70.0,68.6,69.43,69.1,69.25,68.0,68.11,69.5,70.0,69.0,69.84,69.5,70.0,69.0,69.84,68.0,68.3,66.9,67.13
17-Nov-99,942796800,2,68.4,68.9,66.4,66.51,68.1,68.7,67.1,68.05,69.5,70.0,68.6,69.43,69.1,69.25,68.0,68.11,69.5,70.0,69.0,69.84,69.5,70.0,69.0,69.84
16-Nov-99,942710400,1,68.2,69.15,68.15,68.73,68.4,68.9,66.4,66.51,68.1,68.7,67.1,68.05,69.5,70.0,68.6,69.43,69.1,69.25,68.0,68.11,69.5,70.0,69.0,69.84
15-Nov-99,942624000,0,66.2,67.5,65.9,67.21,68.2,69.15,68.15,68.73,68.4,68.9,66.4,66.51,68.1,68.7,67.1,68.05,69.5,70.0,68.6,69.43,69.1,69.25,68.0,68.11
12-Nov-99,942364800,4,66.55,67.4,66.4,66.54,66.2,67.5,65.9,67.21,68.2,69.15,68.15,68.73,68.4,68.9,66.4,66.51,68.1,68.7,67.1,68.05,69.5,70.0,68.6,69.43
11-Nov-99,942278400,3,64.15,66.35,64.1,66.22,66.55,67.4,66.4,66.54,66.2,67.5,65.9,67.21,68.2,69.15,68.15,68.73,68.4,68.9,66.4,66.51,68.1,68.7,67.1,68.05
10-Nov-99,942192000,2,64.1,65.2,63.75,64.39,64.15,66.35,64.1,66.22,66.55,67.4,66.4,66.54,66.2,67.5,65.9,67.21,68.2,69.15,68.15,68.73,68.4,68.9,66.4,66.51
9-Nov-99,942105600,1,63.9,65.55,63.9,64.71,64.1,65.2,63.75,64.39,64.15,66.35,64.1,66.22,66.55,67.4,66.4,66.54,66.2,67.5,65.9,67.21,68.2,69.15,68.15,68.73
